,fault,proApoptosis,antiApoptosis,proArrest,antiArrest,proAngiogenesis,antiAngiogenesis,ConvexSum,ApopRatio,ArrestRatio,AngioRatio,INDEX
129,"(['DRD2', 'puma'], {'DRD2': True, 'puma': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
130,"(['DRD2', 'noxa'], {'DRD2': True, 'noxa': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
131,"(['DRD2', 'XIAP'], {'DRD2': True, 'XIAP': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
132,"(['DRD2', 'Bad'], {'DRD2': True, 'Bad': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
133,"(['DRD2', 'BCL2'], {'DRD2': True, 'BCL2': True})",0.75,0.6666666666666666,1.0,0.25,0.5714285714285714,0.5,1.9874999999999998,1.125,4.0,0.875,
134,"(['DRD2', 'BCLxl'], {'DRD2': True, 'BCLxl': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
135,"(['DRD2', 'Bim'], {'DRD2': True, 'Bim': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
136,"(['DRD2', 'Bak'], {'DRD2': True, 'Bak': True})",0.875,0.5,1.0,0.25,0.5714285714285714,0.5,2.425,1.75,4.0,0.875,
137,"(['DRD2', 'Bax'], {'DRD2': True, 'Bax': True})",0.875,0.5,1.0,0.25,0.5714285714285714,0.5,2.425,1.75,4.0,0.875,
138,"(['DRD2', 'NF1'], {'DRD2': True, 'NF1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
139,"(['HTR3A'], {'HTR3A': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
140,"(['HTR3A', 'HTR4'], {'HTR3A': True, 'HTR4': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
141,"(['HTR3A', 'ACHE'], {'HTR3A': True, 'ACHE': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
142,"(['HTR3A', 'GABRA1'], {'HTR3A': True, 'GABRA1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
143,"(['HTR3A', 'EDNRA'], {'HTR3A': True, 'EDNRA': True})",0.75,0.5,1.0,0.25,0.6428571428571429,0.5,2.25,1.5,4.0,0.7777777777777777,
144,"(['HTR3A', 'ADRB1'], {'HTR3A': True, 'ADRB1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
145,"(['HTR3A', 'ADRB2'], {'HTR3A': True, 'ADRB2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
146,"(['HTR3A', 'FKBP1A'], {'HTR3A': True, 'FKBP1A': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
147,"(['HTR3A', 'CA'], {'HTR3A': True, 'CA': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
148,"(['HTR3A', 'THBD'], {'HTR3A': True, 'THBD': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
149,"(['HTR3A', 'GP1BA'], {'HTR3A': True, 'GP1BA': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
150,"(['HTR3A', 'HDAC'], {'HTR3A': True, 'HDAC': True})",0.75,0.5,1.0,0.5,0.5714285714285714,0.5,1.65,1.5,2.0,0.875,
151,"(['HTR3A', 'Frizzled'], {'HTR3A': True, 'Frizzled': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
152,"(['HTR3A', 'DV1'], {'HTR3A': True, 'DV1': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
153,"(['HTR3A', 'GSK3b'], {'HTR3A': True, 'GSK3b': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
154,"(['HTR3A', 'bCatenin'], {'HTR3A': True, 'bCatenin': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
155,"(['HTR3A', 'Notch'], {'HTR3A': True, 'Notch': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
156,"(['HTR3A', 'KDR'], {'HTR3A': True, 'KDR': True})",0.75,0.5,1.0,0.25,0.6428571428571429,0.5,2.25,1.5,4.0,0.7777777777777777,
157,"(['HTR3A', 'FLT1'], {'HTR3A': True, 'FLT1': True})",0.75,0.5,1.0,0.25,0.6428571428571429,0.5,2.25,1.5,4.0,0.7777777777777777,
158,"(['HTR3A', 'FLT3'], {'HTR3A': True, 'FLT3': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
159,"(['HTR3A', 'FLT4'], {'HTR3A': True, 'FLT4': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
160,"(['HTR3A', 'RET'], {'HTR3A': True, 'RET': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
161,"(['HTR3A', 'FGF2'], {'HTR3A': True, 'FGF2': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
162,"(['HTR3A', 'EGFR'], {'HTR3A': True, 'EGFR': True})",0.75,0.5,1.0,0.25,0.5714285714285714,0.5,2.25,1.5,4.0,0.875,
