,42-MG-BA,A172,AM-38,CCF-STTG1,LN-229,T98G,U-87-MG,YKG-1
"(5, 24)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 25)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 26)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 27)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 28)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 29)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 30)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 31)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 32)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 33)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 34)",1.2,2.4,2.4,1.2,2.4,2.4,1.2,1.2
"(5, 35)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(5, 36)",0.577777778,0.733333333,1.233333333,0.577777778,1.233333333,0.733333333,0.577777778,0.577777778
"(6, 6)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 7)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 8)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 9)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 10)",0.844444444,0.844444444,13.8,0.844444444,13.8,0.844444444,0.844444444,0.844444444
"(6, 11)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 12)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 13)",0.577777778,0.577777778,0.577777778,0.577777778,0.577777778,0.577777778,0.577777778,0.577777778
"(6, 14)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 15)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 16)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 17)",0.844444444,0.844444444,13.8,0.844444444,13.8,0.844444444,0.844444444,0.844444444
"(6, 18)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 19)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 20)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
"(6, 21)",0.577777778,0.577777778,1,0.577777778,1,0.577777778,0.577777778,0.577777778
